n,ISO
R10LATIN_AM,BRA
R10NORTH_AM,CAN
R10NORTH_AM,SPM
R10CHINA+,CHN
R10CHINA+,HKG
R10CHINA+,MAC
R10CHINA+,TWN
R10EUROPE,ALA
R10EUROPE,ALB
R10EUROPE,AND
R10EUROPE,AUT
R10EUROPE,BEL
R10EUROPE,BGR
R10EUROPE,BIH
R10EUROPE,CHE
R10EUROPE,CYP
R10EUROPE,CZE
R10EUROPE,DEU
R10EUROPE,DNK
R10EUROPE,ESP
R10EUROPE,EST
R10EUROPE,FIN
R10EUROPE,FRA
R10EUROPE,FRO
R10EUROPE,GBR
R10EUROPE,GGY
R10EUROPE,GIB
R10EUROPE,GRC
R10EUROPE,GRL
R10EUROPE,HRV
R10EUROPE,HUN
R10EUROPE,IMN
R10EUROPE,IRL
R10EUROPE,ISL
R10EUROPE,ITA
R10EUROPE,JEY
R10EUROPE,LIE
R10EUROPE,LTU
R10EUROPE,LUX
R10EUROPE,LVA
R10EUROPE,MCO
R10EUROPE,MKD
R10EUROPE,MLT
R10EUROPE,MNE
R10EUROPE,NLD
R10EUROPE,NOR
R10EUROPE,POL
R10EUROPE,PRT
R10EUROPE,ROU
R10EUROPE,SJM
R10EUROPE,SMR
R10EUROPE,SRB
R10EUROPE,SVK
R10EUROPE,SVN
R10EUROPE,SWE
R10EUROPE,VAT
R10INDIA+,IND
R10REST_ASIA,IDN
R10PAC_OECD,JPN
R10PAC_OECD,KOR
R10PAC_OECD,PRK
R10LATIN_AM,ABW
R10LATIN_AM,AIA
R10LATIN_AM,ANT
R10LATIN_AM,ARG
R10LATIN_AM,ATA
R10LATIN_AM,ATG
R10LATIN_AM,BHS
R10LATIN_AM,BLM
R10LATIN_AM,BLZ
R10LATIN_AM,BMU
R10LATIN_AM,BOL
R10LATIN_AM,BRB
R10LATIN_AM,CHL
R10LATIN_AM,COL
R10LATIN_AM,CRI
R10LATIN_AM,CUB
R10LATIN_AM,CYM
R10LATIN_AM,DMA
R10LATIN_AM,DOM
R10LATIN_AM,ECU
R10LATIN_AM,FLK
R10LATIN_AM,GLP
R10LATIN_AM,GRD
R10LATIN_AM,GTM
R10LATIN_AM,GUF
R10LATIN_AM,GUY
R10LATIN_AM,HND
R10LATIN_AM,HTI
R10LATIN_AM,JAM
R10LATIN_AM,KNA
R10LATIN_AM,LCA
R10LATIN_AM,MAF
R10LATIN_AM,MSR
R10LATIN_AM,MTQ
R10LATIN_AM,NIC
R10LATIN_AM,PAN
R10LATIN_AM,PER
R10LATIN_AM,PRI
R10LATIN_AM,PRY
R10LATIN_AM,SGS
R10LATIN_AM,SLV
R10LATIN_AM,SUR
R10LATIN_AM,TCA
R10LATIN_AM,TTO
R10LATIN_AM,URY
R10LATIN_AM,VCT
R10LATIN_AM,VEN
R10LATIN_AM,VGB
R10LATIN_AM,VIR
R10LATIN_AM,MEX
R10MIDDLE_EAST,ARE
R10MIDDLE_EAST,BHR
R10MIDDLE_EAST,DZA
R10MIDDLE_EAST,EGY
R10MIDDLE_EAST,ESH
R10MIDDLE_EAST,IRN
R10MIDDLE_EAST,IRQ
R10MIDDLE_EAST,ISR
R10MIDDLE_EAST,JOR
R10MIDDLE_EAST,KWT
R10MIDDLE_EAST,LBN
R10MIDDLE_EAST,LBY
R10MIDDLE_EAST,MAR
R10MIDDLE_EAST,OMN
R10MIDDLE_EAST,PSE
R10MIDDLE_EAST,QAT
R10MIDDLE_EAST,SAU
R10MIDDLE_EAST,SYR
R10MIDDLE_EAST,TUN
R10MIDDLE_EAST,YEM
R10PAC_OECD,ASM
R10PAC_OECD,AUS
R10PAC_OECD,COK
R10PAC_OECD,CXR
R10PAC_OECD,FJI
R10PAC_OECD,FSM
R10PAC_OECD,GUM
R10PAC_OECD,HMD
R10PAC_OECD,KIR
R10PAC_OECD,MHL
R10PAC_OECD,MNP
R10PAC_OECD,NCL
R10PAC_OECD,NFK
R10PAC_OECD,NIU
R10PAC_OECD,NRU
R10PAC_OECD,NZL
R10PAC_OECD,PCN
R10PAC_OECD,PLW
R10PAC_OECD,PNG
R10PAC_OECD,PYF
R10PAC_OECD,SLB
R10PAC_OECD,TKL
R10PAC_OECD,TLS
R10PAC_OECD,TON
R10PAC_OECD,TUV
R10PAC_OECD,UMI
R10PAC_OECD,VUT
R10PAC_OECD,WLF
R10PAC_OECD,WSM
R10AFRICA,ZAF
R10REST_ASIA,AFG
R10REST_ASIA,BGD
R10REST_ASIA,BTN
R10REST_ASIA,LKA
R10REST_ASIA,MDV
R10REST_ASIA,NPL
R10REST_ASIA,PAK
